07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 333 FatalException #smf CoreISP!~coreisp@simplemachines/rootadmin/CoreISP 1432406302
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 353 FatalException = #smf :FatalException +Antes idosedthekoolaid +Dragooon luuuciano KnownSyntax cali Roph NanoSector Metacity Kissaki tvenhola Stu| spossiba paulr realz anonymouse Rymax99 Elsensee Niko^ StupidWeasel stefan RTamas SleePy callumacrae Nicofuma @ChanServ t eichiro
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 366 FatalException #smf :End of /NAMES list.
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #wildphp
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 332 FatalExcepti07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< on #wildphp :Welcome to #wildphp. Feel free to idle around. For help, just poke one of us and please stay around; someone will get to you. Get the latest version of the bot from https://github.com/WildPHP/Wild-IRC-Bot
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 333 FatalException #wildphp NanoSector!~Yoshi2889@simplemachines/support/NanoSector 1428415030
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 353 FatalException = #wildphp :FatalException +SPF|Cloud @NanoSector Madgod +amunak Stifler rbxs @TimTims GuntherD1 @ChanServ
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 366 FatalException #wildphp :End of /NAMES list.
07.07.2015 - 14:27:29	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. NOTICE FatalException :[#smf] Welcome to the SimpleMachines.org official IRC channel! No guarantee for support here. Please do !NOT! send private messages to anyone in this channel without asking permission first! Thank you :) Staff are +v. Have a great time! *!*Please speak English in this channel*!*
07.07.2015 - 14:27:29	  [ WildPHP\Manager-DEBUG ] 	<< :services. 328 FatalException #smf :http://www.simplemachines.org/
07.07.2015 - 14:27:29	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. MODE #NanoPlayground +o FatalException
07.07.2015 - 14:27:29	  [ WildPHP\Manager-DEBUG ] 	<< :services. 328 FatalException #wildphp :http://wildphp.com
07.07.2015 - 14:27:29	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. MODE #wildphp +v FatalException
07.07.2015 - 14:28:07	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #NanoPlayground :#join #sm
07.07.2015 - 14:28:07	  [ LOG ] 	Shutdown function called, closing log...
